name                                                                                                                                                                               |  rows    
CONSERVATIVE AMERICA NOW PAC                                                                                                                                                       |  207     
GOPAC Election Fund                                                                                                                                                                |  207     
Making America Prosperous PAC                                                                                                                                                      |  207     
NASDAQ OMX Group, Inc. PAC (NASDAQ PAC)                                                                                                                                            |  207     
Seaboard Corporation Political Action Committee                                                                                                                                    |  207     
Butler Snow Political Action Committee                                                                                                                                             |  206     
Russell Investment Group Federal Political Action Committee                                                                                                                        |  206     
Chris Day for Congress                                                                                                                                                             |  204     
GAY AND LESBIAN VICTORY FUND FEDERAL PAC                                                                                                                                           |  204     
Self-Insurance Institute of America, Inc. PAC (Self-Insurance PAC)                                                                                                                 |  204     
Wisconsin Bankers Association (WISBANKPAC)                                                                                                                                         |  204     
All America PAC                                                                                                                                                                    |  203     
AMERICAN SECURITY PAC                                                                                                                                                              |  203     
ELIZABETH CROWLEY FOR CONGRESS                                                                                                                                                     |  203     
National Shooting Sports Foundation, Inc. Political Action Committee (NSSF PAC)                                                                                                    |  203     
3rd Congressional District                                                                                                                                                         |  202     
California Westside Farmers Federal PAC                                                                                                                                            |  202     
CLOUD PEAK ENERGY RESOURCES LLC EMPLOYEE PAC                                                                                                                                       |  202     
EZCorp Inc. Political Action Committee                                                                                                                                             |  202     
FEDERAL HOME LOAN BANK OF TOPEKA PAC                                                                                                                                               |  202     
FUND FOR LOUISIANAS FUTURE; THE                                                                                                                                                    |  202     
International Brotherhood of Electrical Workers Local Union 313 PAC                                                                                                                |  202     
Texans for Pete                                                                                                                                                                    |  202     
Westinghouse Electric Company LLC PAC                                                                                                                                              |  202     
American Pistachio Growers Pistachio Political Action Committee                                                                                                                    |  201     
BANCORP SOUTH BANK PAC FKA BANK OF MISSISSIPPI OFFICERS VOLUNTARY POLITICAL COMMITTEE                                                                                              |  201     
CalPortland Company Political Action Committee (CPCC-PAC)                                                                                                                          |  201     
Democratic Club Of Santa Maria Valley                                                                                                                                              |  201     
PEISER FOR CONGRESS                                                                                                                                                                |  201     
WOMEN UNDER FORTY POLITICAL ACTION COMMITTEE (WUFPAC)                                                                                                                              |  201     
APOLLO EDUCATION GROUP INC. POLITICAL ORGANIZATION FOR LEGISLATIVE LEADERSHIP                                                                                                      |  200     
DIRECT VOICE, THE POLITICAL ACTION COMMITTEE OF THE DIRECT MARKETING ASSOCIATION                                                                                                   |  200     
International Foodservice Distributors Association Political Action Committee                                                                                                      |  200     
KPAC                                                                                                                                                                               |  200     
SCHERTZING FOR CONGRESS                                                                                                                                                            |  200     
THMCarePAC                                                                                                                                                                         |  200     
Family-PAC Federal                                                                                                                                                                 |  199     
Freshman Agricultural Republican Members Trust AKA FARM Trust                                                                                                                      |  199     
Grassroots Victory Project 2014                                                                                                                                                    |  199     
JESSE YOUNG FOR US CONGRESS                                                                                                                                                        |  199     
KUHN FOR CONGRESS                                                                                                                                                                  |  199     
National Health Corporation Political Action Committee                                                                                                                             |  199     
WHIRLPOOL CORPORATION POLITICAL ACTION COMMITTEE                                                                                                                                   |  199     
Defenders of Freedom and Security                                                                                                                                                  |  198     
FALEOMAVAEGA FOR CONGRESS COMMITTEE                                                                                                                                                |  198     
JET PAC                                                                                                                                                                            |  198     
Keystone Alliance Political Action Committee                                                                                                                                       |  198     
KURTZ FOR CONGRESS                                                                                                                                                                 |  198     
WESTERN GROWERS POLITICAL ACTION COMMITTEE                                                                                                                                         |  198     
Yolo County Republican Central Committee (Fed Acct.)                                                                                                                               |  198     
Association of Progressive Rental Organizations Political Action Committee                                                                                                         |  197     
CA Hospital Association PAC-Fed Spons by CA Assn of Hospitals & Health Systems  (CAHHS)                                                                                            |  197     
Cintas Corporation Partners PAC                                                                                                                                                    |  197     
COMMUNITY ONCOLOGY ALLIANCE PAC                                                                                                                                                    |  197     
Crowley Maritime Corporation Federal PAC                                                                                                                                           |  197     
SKIPAC                                                                                                                                                                             |  197     
American Iron and Steel Institute Political Action Committee (STEEL PAC)                                                                                                           |  196     
ArcelorMittal USA LLC Good Government Committee                                                                                                                                    |  196     
Dr Pepper Snapple Group PAC                                                                                                                                                        |  196     
Norm Mosher for Congress                                                                                                                                                           |  196     
SILK PAC                                                                                                                                                                           |  196     
STINSON MORRISON HECKER POLITICAL ACTION COMMITEE PAC                                                                                                                              |  196     
Maynard Cooper & Gale PC PAC                                                                                                                                                       |  195     
Ready for Warren Presidential Draft Campaign                                                                                                                                       |  195     
Resolute Forest Products US Inc Political Action Committee                                                                                                                         |  195     
BATES FOR CONGRESS COMMITTEE                                                                                                                                                       |  194     
CastlePAC LLC                                                                                                                                                                      |  194     
Flores for Congress                                                                                                                                                                |  194     
The Recording Industry Association of America Political Action Committee                                                                                                           |  194     
Apache Corporation Political Action Committe (APACHEPAC)                                                                                                                           |  193     
BINGHAM MCCUTCHEN LLP PAC                                                                                                                                                          |  193     
CONCERNED AMERICANS FOR FREEDOM & OPPORTUNITY PAC (CAFO PAC)                                                                                                                       |  193     
DEMOCRATIC CLUB OF THE MONTEREY PENINSULA FEDERAL                                                                                                                                  |  193     
HOUSE MAJORITY TRUST                                                                                                                                                               |  193     
Intuit Inc. 21st Century Leadership Fund                                                                                                                                           |  193     
Nunn Victory Fund                                                                                                                                                                  |  193     
SeaWorld Parks & Entertainment Inc. PAC                                                                                                                                            |  193     
SMALL BUSINESS INVESTOR ALLIANCE PAC                                                                                                                                               |  193     
United Food and Commercial Workers International Union Working Families Advocacy Project                                                                                           |  193     
Wolverine PAC                                                                                                                                                                      |  193     
Consumer Healthcare Products Association PAC  (CHPA/PAC)                                                                                                                           |  192     
Navistar Inc. Good Government Committee                                                                                                                                            |  192     
PRIMERICA INC POLITICAL ACTION COMMITTEE (PRIMERICA PAC)                                                                                                                           |  192     
Ruben Kihuen for Congress                                                                                                                                                          |  192     
The Hartford Financial Services Group, Inc. Federal PAC (AKA Hartford Advocates Federal Fund)                                                                                      |  192     
UNIVERSAL AMERICAN CORP. PAC                                                                                                                                                       |  192     
Wooten For Congress                                                                                                                                                                |  192     
COMPTEL PAC                                                                                                                                                                        |  191     
Dennis Anderson for Congress                                                                                                                                                       |  191     
Magellan Health, Inc. Employee Committee for Good Government                                                                                                                       |  191     
SOCIETY OF AMERICAN FLORISTS POLITICAL ACTION COMMITTEE                                                                                                                            |  191     
CRESCENT RIVER PORT PILOTS ASSOCIATION FEDERAL POLITICAL ACTION COMMITTEE/CRPPA FED PAC                                                                                            |  190     
Eisai Inc. PAC                                                                                                                                                                     |  190     
Elect - The PAC of the Alabama Farmers Federation                                                                                                                                  |  190     
Help Elect Women                                                                                                                                                                   |  190     
INTERNATIONAL FEDERATION OF PROFESSIONAL AND TECHNICAL ENGINEERS LOCAL 21                                                                                                          |  190     
PODER PAC                                                                                                                                                                          |  190     
ALION SCIENCE AND TECHNOLOGY CORPORATION PAC                                                                                                                                       |  189     
Booker Senate Victory                                                                                                                                                              |  189     
COMMITTEE FOR/ADV OF SE COTTON (CASC) SOUTHERN COTTONGROWERS INC/SE COTTON GINNERS ASSN                                                                                            |  189     
DC Democratic State Committee                                                                                                                                                      |  189     
FERT PAC (The Political Action Committee Of The Fertilizer Institute)                                                                                                              |  189     
National Athletic Trainers Association Inc Political Action Committee (NATA PAC)                                                                                                   |  189     
THE HERSHEY COMPANY POLITICAL ACTION COMMITTEE                                                                                                                                     |  189     
BLUMENAUER CENTURY FUND                                                                                                                                                            |  188     
Campbell Soup Company PAC Campbell PAC                                                                                                                                             |  188     
Commonwealth PAC                                                                                                                                                                   |  188     
Electropac 728 (International Brotherhood of Electrical Workers Local 728)                                                                                                         |  188     
Friends of Simitian                                                                                                                                                                |  188     
Keeping Republican Ideas Strong Timely & Inventive (KRISTI PAC)                                                                                                                    |  188     
STAND AMERICA PAC                                                                                                                                                                  |  188     
Alcoa Inc. Employees Voluntary State and Federal Political Action Committee                                                                                                        |  187     
Beale for Congress                                                                                                                                                                 |  187     
Joy Global Inc. Political Action Committee (Joy Global PAC)                                                                                                                        |  187     
NATIONAL ASSOCIATION OF PROFESSIONAL EMPLOYER ORGANIZATIONS PAC (NAPEO PAC)                                                                                                        |  187     
TRI-VALLEY UNITED DEMOCRATIC CAMPAIGN                                                                                                                                              |  187     
ALLIANT ENERGY CORPORATION EMPLOYEES POLITICAL ACTION COMM                                                                                                                         |  186     
BROUSE & MCDOWELL, A LEGAL PROFESSIONAL ASSOCIATION FSL PAC                                                                                                                        |  186     
End Citizens United                                                                                                                                                                |  186     
Jacobs Good Government Fund of Jacobs Engineering Group Inc.                                                                                                                       |  186     
NATIONAL ASSOCIATION OF PSYCHIATRIC HEALTH SYSTEMS POLITICAL ACTION COMMITTEE (NAPHS/PAC)                                                                                          |  186     
AUTO CARE ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                                   |  185     
CROSSROADS GENERATION                                                                                                                                                              |  185     
Doug Daggett for Congress                                                                                                                                                          |  185     
Friends of Pork, Ohio Pork Producers PAC                                                                                                                                           |  185     
Leidos Inc. Political Action Committee                                                                                                                                             |  185     
National Campaign                                                                                                                                                                  |  185     
American Association of Airport Executives                                                                                                                                         |  184     
CHS INC. POLITICAL ACTION COMMITTEE                                                                                                                                                |  184     
MASS PAC                                                                                                                                                                           |  184     
MINN. ASSN. OF REALTORS FEDERAL PAC                                                                                                                                                |  184     
Renewable Energy Systems Americas Inc. PAC (aka RESPAC)                                                                                                                            |  184     
Change Campaign Super PAC                                                                                                                                                          |  183     
Equipment Leasing and Finance Assn PAC (LeasePAC)                                                                                                                                  |  183     
LIBERTY TREE PAC INC                                                                                                                                                               |  183     
LOUISIANA FOR AMERICAN SECURITY POLITICAL ACTION COMMITTEE                                                                                                                         |  183     
Malone People Action Committee - Delegate                                                                                                                                          |  183     
10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE                                                                                                                                   |  182     
AIR CONDITIONING CONTRACTORS OF AMERICA PAC                                                                                                                                        |  182     
AMERICAN SHORT LINE AND REGIONAL RAILROAD ASSOCIATION - POLITICAL ACTION CMTE (ASLRRA-PAC)                                                                                         |  182     
EMC Corporation Political Action Committee                                                                                                                                         |  182     
Patriot Majority PAC                                                                                                                                                               |  182     
REPUBLICAN MEMBER SENATE FUND                                                                                                                                                      |  182     
Alkermes, Inc. Political Action Committee                                                                                                                                          |  181     
Barrick Gold of North America Inc. Employees PAF                                                                                                                                   |  181     
DEL PAC                                                                                                                                                                            |  181     
INDEPENDENT BANKERS ASSOCIATION OF TEXAS FEDERAL PAC (IBAT FEDPAC)                                                                                                                 |  181     
MATT MILLER FOR CONGRESS 2014                                                                                                                                                      |  181     
ROCK CITY PAC                                                                                                                                                                      |  181     
UNITED HEALTH SERVICES PAC, INC.                                                                                                                                                   |  181     
CENTRAL CONTRA COSTA UNITED DEMOCRATIC CAMPAIGN (CCCUDC)                                                                                                                           |  180     
DEFENDING AND INVESTING IN AMERICAS NEW ENDEAVORS PAC (DIANE PAC)                                                                                                                  |  180     
Forest City Enterprises, Inc. United for a Sensible Government (Focus)                                                                                                             |  180     
Hill-Rom Holdings, Inc. Political Action Committee (HRPAC)                                                                                                                         |  180     
John Dennis for Congress 2014                                                                                                                                                      |  180     
LEE FOR CONGRESS COMMITTEE                                                                                                                                                         |  180     
MY AMERICA INC                                                                                                                                                                     |  180     
NetJets Association of Shared Aircraft Pilots PAC; NJASAP PAC                                                                                                                      |  180     
PEPCO HOLDINGS INC POLITICAL ACTION COMMITTEE AKA PHI PAC                                                                                                                          |  180     
PERRY HANEY FOR CONGRESS                                                                                                                                                           |  180     
USAgainstAlzheimers PAC                                                                                                                                                            |  180     
West Hollywood Democratic Club/Beverly Hills Democratic Club                                                                                                                       |  180     
American Commercial Lines Inc. PAC                                                                                                                                                 |  179     
Blakeman 2014 Inc.                                                                                                                                                                 |  179     
COUNCIL OF SCHOOL SUPERVISORS AND ADMINISTRATORS LOCAL 1 AFSA AFL-CIO                                                                                                              |  179     
FRIENDS OF BOB FUEHR                                                                                                                                                               |  179     
RGA RIGHT DIRECTION PAC                                                                                                                                                            |  179     
TRAVIS COUNTY REPUBLICAN PARTY FEDERAL COMMITTEE                                                                                                                                   |  179     
Xerox Corporation Political Action Committee (XPAC)                                                                                                                                |  179     
Crowley Leadership Fund                                                                                                                                                            |  178     
Libertarian Party of Michigan Executive Committee, Inc.                                                                                                                            |  178     
NATIONAL UTILITY CONTRACTORS ASSOCIATION LEGISLATIVE INFORMATION AND ACTION COMMITTEE                                                                                              |  178     
RPM INTERNATIONAL INC MANUFACTURING IN AMERICA PAC DBA RPM MANUFACTURING IN AMERICA PAC                                                                                            |  178     
Stallings for Idaho                                                                                                                                                                |  178     
SUPPORTERS OF ENGINEERS LOCAL 3 ENDORSED CANDIDATES                                                                                                                                |  178     
American Traffic Safety Services Association PAC                                                                                                                                   |  177     
Conservative Principles PAC                                                                                                                                                        |  177     
FINANCIAL SERVICES POLITICAL COMMITTEE                                                                                                                                             |  177     
FLIR Systems, Inc. Employees Political Action Committee (FLIRPAC)                                                                                                                  |  177     
HALL FOR CONGRESS EXPLORATORY COMMITTEE                                                                                                                                            |  177     
LOEWS CORPORATION PUBLIC AFFAIRS COMMITTEE                                                                                                                                         |  177     
NIGER INNIS FOR CONGRESS                                                                                                                                                           |  177     
Angie Craig for Congress                                                                                                                                                           |  176     
CON-WAY INC. POLITICAL ACTION COMMITTEE                                                                                                                                            |  176     
HF RESPONSIBILITY FUND                                                                                                                                                             |  176     
VGM MANAGEMENT LTD PAC (VGMPAC)                                                                                                                                                    |  176     
World Acceptance Corporation Political Action Committee                                                                                                                            |  176     
Beam Suntory Inc Political Action Committee                                                                                                                                        |  175     
CORNYN MAJORITY COMMITTEE                                                                                                                                                          |  175     
DeVry Inc Political Action Committee                                                                                                                                               |  175     
Electing Women Political Action Committee                                                                                                                                          |  175     
Entertainment Software Association PAC (ESA PAC)                                                                                                                                   |  175     
International Union of Operating Engineers Local 324 National Political Activities Comm.                                                                                           |  175     
National Confectioners Association of the United States, Inc. Political Action Committee (Candy PAC)                                                                               |  175     
Ocean Spray Cranberries Inc. Political Action Committee                                                                                                                            |  175     
Pacific Palisades Democratic Club Campaign Account                                                                                                                                 |  175     
Safelite Group Inc. PAC (aka Safelite PAC)                                                                                                                                         |  175     
The Atkins North America Holdings Corporation PAC                                                                                                                                  |  175     
Alexion Pharmaceuticals Inc. PAC                                                                                                                                                   |  174     
Cambia Health Solutions Inc. PAC                                                                                                                                                   |  174     
Cubic Corporation Employees Political Action Committee                                                                                                                             |  174     
GGNSC Holdings LLC/Golden Horizons Care PAC                                                                                                                                        |  174     
MECHANICAL CONTRACTORS ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE (MCA-PAC)                                                                                                 |  174     
National Association of Enrolled Agents Political Action Committee                                                                                                                 |  174     
NELNET INC PAC (NELNET PAC)                                                                                                                                                        |  174     
NORTHERN TRUST CORPORATION POLITICAL ACTION COMMITTEE (NORTHERN TRUST PAC)                                                                                                         |  174     
WIN BACK AMERICA POLITICAL ACTION COMMITTEE                                                                                                                                        |  174     
CE Action Committee                                                                                                                                                                |  173     
Crowe PAC                                                                                                                                                                          |  173     
GROWTH POLITICAL ACTION COMMITTEE (GROWTH PAC)                                                                                                                                     |  173     
National Association of Wheat Growers Political Action Committee (WheatPac)                                                                                                        |  173     
Secure PAC                                                                                                                                                                         |  173     
Total System Services, Inc. PAC (TSYS PAC)                                                                                                                                         |  173     
VANILA SINGH FOR CONGRESS 2014                                                                                                                                                     |  173     
American Natural Gas Alliance Inc. Political Action Committee (natgaspac)                                                                                                          |  172     
Committee to Elect Brian Reese for Congress                                                                                                                                        |  172     
GREGGPAC                                                                                                                                                                           |  172     
HOLLAND AMERICA LINE INC. PAC (HALPAC)                                                                                                                                             |  172     
Hunter Action Fund (HAF)                                                                                                                                                           |  172     
SECURITY SERVICE FEDERAL CREDIT UNION PAC                                                                                                                                          |  172     
TD Bank N.A. Political Action Committee                                                                                                                                            |  172     
The Premier, Inc. Employees Civic Action Fund                                                                                                                                      |  172     
TRANSPORTATION INTERMEDIARIES ASSOCIATIONS TIAPAC                                                                                                                                  |  172     
WESTERN ENERGY ALLIANCE PAC                                                                                                                                                        |  172     
American Clinical Laboratory Associaton PAC (LabPAC)                                                                                                                               |  171     
Doctor Voice 4 Patient Choice PAC                                                                                                                                                  |  171     
Hope for Congress                                                                                                                                                                  |  171     
JOBS, OPPORTUNITY AND NEW IDEAS PAC                                                                                                                                                |  171     
McMorris Rodgers American Dream Project                                                                                                                                            |  171     
North American Coal Corp. Political Action Comm. NACPAC                                                                                                                            |  171     
Reid Nevada Fund                                                                                                                                                                   |  171     
The Lantern Project                                                                                                                                                                |  171     
WOMEN IN LEADERSHIP                                                                                                                                                                |  171     
AARONS, INC. POLITICAL ACTION COMMITTEE                                                                                                                                            |  170     
LEADERSHIP FOR AMERICAN OPPORTUNITY                                                                                                                                                |  170     
MAGAZINE PUBLISHERS OF AMERICA PAC FKA MAGAZINE PUBLISHES ASSOCIATION PAC                                                                                                          |  170     
