name                                                                                                                                                                               |  rows    
Connolly for Congress                                                                                                                                                              |  4236    
Friends of Jared Polis Committee                                                                                                                                                   |  4215    
Merck & Co., Inc., Employees Political Action Committee (Merck PAC)                                                                                                                |  4210    
HUCK PAC                                                                                                                                                                           |  4206    
Pascrell for Congress                                                                                                                                                              |  4194    
Conaway for Congress                                                                                                                                                               |  4190    
Joe Wilson for Congress                                                                                                                                                            |  4190    
Cicilline Committee                                                                                                                                                                |  4185    
Democratic Properties Corporation-Federal                                                                                                                                          |  4171    
South Carolina Republican Party                                                                                                                                                    |  4155    
Billy Long for Congress                                                                                                                                                            |  4147    
Duncan D. Hunter for Congress                                                                                                                                                      |  4136    
State Democratic Executive Committee of Alabama                                                                                                                                    |  4130    
Dave Camp for Congress                                                                                                                                                             |  4108    
MONTANA REPUBLICAN STATE CENTRAL COMMITTEE                                                                                                                                         |  4104    
Friends of Dave Reichert                                                                                                                                                           |  4088    
Sean Patrick Maloney for Congress                                                                                                                                                  |  4067    
WV State Democratic Executive Committee                                                                                                                                            |  4065    
Texans for Lamar Smith                                                                                                                                                             |  4059    
Priorities USA Action                                                                                                                                                              |  4030    
AMERICAN ASSOCIATION FOR JUSTICE POLITICAL ACTION COMMITTEE (AAJ PAC)                                                                                                              |  4011    
DeFazio for Congress                                                                                                                                                               |  4005    
NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                   |  3999    
